,query,pred
0,1632,0
2,1862,0
8,1933,1
14,1954,0
15,1955,0
18,1959,0
20,1971,0
23,1988,1
24,1990,1
27,'Two Towers' Sets,0
29,• Albert Sabin,1
30,+essays +Macbeth +Blood,0
31,+richard lamm +colorado,1
42,1967 Daytona 500,0
43,1971 events,1
46,1981 ali's last fight,0
48,1983 Calendar,1
49,1983 oscar for best song,1
51,1984 calendar,1
52,1984 cyndi lauper hit,0
53,1984 cyndi lauper song,0
56,1988 dakota shelby,0
59,1993 NASCAR Rookie of the Year,1
61,1998*lipinski,1
63,1999 STEPHEN KING NOVELS,1
66,2 player boxes from dots,1
69,2004 mtv music,1
70,2005 mtv movie award videos Jimmy Fallon,0
71,2PAC SHAKUR ,1
73,4 weddings and a funeral,1
76,5 burrows of new york city,1
77,50 cent,0
80,7 habits of highly effective people,0
84,A Chorus Line,0
85,a colombian poet,1
88,a list of all of michael jackson's music video,0
95,A Separate Peace themes,1
96,a song for you donny hathaway,1
97,A Study in Scarlet,1
105,aaron Brown,1
106,aaron burr,0
109,aaron russo,0
112,abbreviation rpa,1
113,ABC Family/ Gilmore Girls,0
114,ABC GENERAL HOSPITAL TIME LINE,1
117,Abigail and Brittany Hensel,0
118,abner doubleday,0
121,About George Fox,1
124,about Maynard Ferguson,1
127,abraham kuyper,1
129,Abraham Lincoln 1861.,0
131,Abraham Lincoln middle years,1
132,abraham Lincoln wikipedia,0
135,abram,0
140,Achebe's poems,1
143,Actor Charles Bronson,0
144,Actor David Janssen,0
145,Actors Alexis Bledel And Milo Ventimiglia Dating,0
148,actress kirshner,0
149,actress negri,0
150,Acts of the apostles,0
152,ADAM COPELAND,0
153,adam levine,0
155,adam sandler and wife,0
156,Adam Sandler's Movie Click,0
162,ADAMS REVOLVER,1
163,adenauer,0
164,ADINA HOWARD,1
168,adolf hitler short biography,0
173,adrianne curry wedding,0
174,Adrienne Barbeau,0
176,adrienne rich,0
178,Afghanistan in 2001 and detained,1
182,afton smith,0
183,Agatha Christie,0
184,Agatha Christie+books published,0
185,age limit for american idol 2006 auditions,1
189,ages for Generation X,0
193,Akhenaten,0
198,al gore pictures 2000,0
202,al pacino,0
208,alan moore batman,0
209,Alan Moore comic book covers,1
211,Albee,0
212,albert Camus,0
213,Albert Einstein,0
215,albert einstein professor nuclear physics,0
226,alec guiness,1
235,alexander bell,1
240,Alexander Hamilton,0
243,Alexander pope,0
245,alexander the great,1
247,alexis,0
249,alexis smith,0
252,alfred binet,0
253,ALfred Blalock,0
257,algernon,0
261,alice cooper,0
263,alice walker the writer,1
264,Alice Walton,0
265,alicia keys,0
266,Alison Waite,1
269,all eyez on me,0
271,ALL MY CHILDREN,1
274,All Summer in a Day short story by Ray Bradbury,0
277,all things anderson cooper,0
281,allen toussaint,1
284,allison pronounced in german,1
286,altercation between tony stewart and matt kenseth,1
293,amadeus,0
294,amanda blake,0
295,amanda bynes,0
296,amazing race + logo,0
298,amazing randi,1
300,ambient music online,1
310,american idiot,1
312,AMERICAN IDOL & TOP 40 SONGS,0
315,american idol 2002,0
317,american idol announcement,0
319,american idol auditions season,0
326,American Idol Logo,1
327,american idol rules,0
328,american idol season 1 contestants,0
333,american idol voting controversy,1
334,American Idol-Kellie Pickler,0
336,american numa numa lyrics,1
339,amityville killings,0
350,analysis of the da vinci code,0
352,ancient rome romulus omen,0
355,anderson cooper bio,1
356,Anderson Cooper Gloria Vanderbilt,0
360,Andrea Boccelli,1
369,andrew jackson,1
371,Andrew Jackson lead what era,1
373,Andrew Marvell,0
374,andrew mcmahon,0
375,andrew wyeth,0
377,Andrews Roy Chapman,1
378,andruw jones,0
379,Andy Armstrong Billie Joe,0
380,ANDY GIBB SONG LYRICS,1
381,Andy Goldsworthy,0
384,Andy Milonakis theme song free download,0
388,Andy Warhol's family,0
390,andy williams happy heart year recorded,1
391,ANG LEE,0
400,angelina jolie mother,0
401,Angelina jolie recent interviews,0
402,angelina jolie wikipedia,0
404,angelina jolie's pregnancy,0
405,angelou bio,0
408,angus young,0
409,animal farm,0
410,Animal Farm and the Russian Revolution,0
411,animal farm encyclopedia,0
412,animal fights line,1
417,animation for mtv's liquid tv,0
419,anita bryant,1
423,ann coulter,0
424,ann Curry,0
425,Ann Curry today show nbc,0
426,ANN HECHE,1
429,Anna Anderson,0
431,anna faris,1
441,anne frank (biography),0
449,Annie Broadway,1
450,ANNIE HALL,0
451,annie leibovitz,0
454,another sad love son braxton video,1
455,Anousheh Ansari,0
458,Anthony Hopkins,0
459,anthony kiedis,0
461,anti gravity,0
466,Antonio Banderas,0
467,antonio canova,0
469,antonio stradivari,0
472,Any Given Sunday,1
474,appetite for destruction,0
475,aqua teen hunger force,0
479,archibald cox,1
483,Archimedes- life and work,1
488,ariel sharon,0
489,aristotle,0
491,aristotle on truth,1
493,arizona's John McCain senator,0
497,Arms of the Man by George Bernard Shaw,1
502,Arnold Vosloo,0
504,Art Bell,0
505,art garfunkel songs,0
511,Arthur S. Krause,1
512,article on tom brokaw's wife,1
514,articles related to harold shipman,1
515,Artist Akon record label,0
519,asafa powell,0
523,ashley simpson,1
528,Atlas Shrugged,0
529,Attila,0
531,atwar bahjat,1
532,audie murphy,0
542,australian prime minister sonia mcmahon,0
550,axl rose,0
562,Babe Ruth homeruns Statistics 714 team,0
565,babe ruth's 1927 home run record,0
567,baby boom generation,0
570,baby boomers,1
578,backgammon,0
585,Banjo Paterson,0
590,Barbara Hershey,0
591,barbara streisand,0
594,barber of seville,0
601,BARRY WHITE,1
603,bart simpsons drawings,1
606,baruch plan,1
609,Bathsheba,0
612,Batman picture,1
617,beach mtv 1995 florida,1
618,beast Wars Maximals,0
621,beatrice straight,1
624,Beatty from fahrenheit 451,0
625,Beatty Ned,1
626,Bebel Gilberto,1
628,beckham,0
631,Before sunset,1
633,BELINDA STRONACH,1
637,ben 10,0
640,ben 10 episodes aliens,0
641,ben affleck biography,0
647,Ben Gibbard,0
648,ben harper,0
651,benedict arnold,0
652,benito,0
653,benito mussolini,0
655,benjamin bloom 1980,0
656,benjamin bratt,0
658,benjamin franklin,1
665,Benny Goodman,0
668,Benvenuto Cellini autobiography,0
672,Bernard Edwards,1
673,bernard goldberg,1
676,Bernard Malamud,1
677,bernie goetz,1
682,bessie smith,0
690,betty page,0
692,beverly hills cop soundtrack,0
696,Bible>undisputed letters of Paul,1
697,bibleman,1
698,biblical esther,0
699,biblical Mary Magdalena,1
704,big boi,0
708,big joe turner,1
715,bill belichick,0
721,Bill Cosby awards,0
722,Bill Cosby' son,0
723,bill cosby's ghettosburg address,0
728,Bill Gates before,1
731,bill gates family life,1
732,bill goldberg,0
737,billie holiday,1
738,Billie Jean King,0
740,Billie piper,1
741,billie piper and Doctor Who third series,0
742,billion,1
743,Billy Bragg,0
744,billy graham,0
746,billy idol discography,0
750,billy joel bio,1
752,billy martin,0
753,Billy Ocean,1
754,Billy Sunday,0
760,bio for Merv Griffin,0
762,Bio of Taylor Hicks,0
766,biography of ansel adams,0
775,biography of ray charles,1
776,biography of Senator Ted Kennedy,1
780,BIOGRAPHY ON PHILIP ROTH THE AUTHOR,1
782,biography on Simon Cowell,0
798,blind cleric muslim,1
801,bloody sunday and selma,0
803,bloomberg,0
805,BLOW ME UP TOM RADIO,1
806,blow on the dice roll 10 4,1
807,blue movie,1
809,Bo Jackson 40 yard dash speed,1
810,bo pickler,0
811,Bob Baer,0
814,Bob Barker,0
815,bob barker age,0
818,bob dylan guitar chords,1
819,bob dylan poem,0
824,bob griese,1
830,Bob Paris & Rod Jackson,1
831,bob ross,0
832,bob ross's bio,0
833,bob ross's paintings,0
835,bob sapp,0
837,bob seger 2006,0
838,Bob Seger discography,0
841,bob woodward and watergate,0
843,bobby brown,0
844,bobby brown and whitney houston,0
848,bobby sands ira,0
849,bobo brazil,0
853,bogart/bacall classic,0
860,BONANNO,0
862,BONANZA LYRICS,1
864,BONGO FURY,1
865,bonnie owens,1
868,book of baruch,1
869,book of common prayer,0
873,book of isaiah,1
877,Book of Matthew,1
878,Book of Proverbs,0
879,book of revelation,0
884,Books written by Agatha Christie 1920,0
886,bootleg,0
887,Borgia family,0
888,boris pasternak,0
889,bork,0
890,born again billy preston,1
897,botha,0
903,BRAD HALL PICTURE FROM SNL,0
904,brad henry,1
905,brad pitt,0
907,brady bunch songs,0
908,brahe -missing -memoriam,0
914,braveheart,0
915,brawley nolte,0
916,brazilian adriana,1
920,breakout,0
922,Brenda Richie,1
923,Bret Easton Ellis,0
928,brian adams songs,0
930,brian boitano,0
935,brian lewis sprinter,1
937,brian+blessed,0
939,Brigham Young,0
942,Britney Spears,0
944,broderick crawford,0
948,brooke shields movie,1
952,bruce lee's life,0
956,bruce springsteens,1
962,bubble boy,0
964,buck owens,0
966,bud selig,0
967,Buddy Guy,1
969,buddy holly songs,0
971,Buffett Foundation,0
972,Buffy angel Dawn,0
974,buffy the vampire books,0
977,bugs bunny and carmen miranda,0
978,bugsy siegel,0
980,Buju Banton (Jamaica Artist),0
989,burl ives song book,0
991,Burr vs. Hamilton Duel,1
992,burt bacharach,0
999,c-span interview with Thomas Friedman the world is flat,0
1000,cactuses,1
1001,caduceus maynard,0
1003,Caesar's way,0
1007,Calatrava Bridge,1
1018,Calvin stowe,1
1022,camille paglia,0
1025,Campbell’s Soup I by Andy Warhol,0
1027,canadian olympic gold medalists,0
1029,candice bergen,0
1031,capote,0
1033,Captain cook,1
1046,Carl Nielsen,1
1048,Carl Sagan,0
1052,carla conway,1
1053,carlo ciampi,1
1054,carlos menem,0
1058,Carly Simon,0
1059,carly simon +only does it better,1
1062,carmen electra video of her having sex,0
1066,carnegie,0
1067,Carol Joyce Oates,0
1068,carol wimber,1
1069,Carole Bouquet,0
1076,carrie underwood some hearts CD cover,0
1083,Cary Elwes,0
1084,CARY GRANT,0
1085,cary grant and randolph scott,0
1086,caryl chessman,1
1088,Cassandra Sheen,0
1092,cast of petticoat,1
1095,Castle in the Air by Diana Wynne Jones,0
1106,catcher in the rye- themes on social status,0
1109,catherine of aragon,0
1110,Catherine of Aragon's daughter Mary,0
1111,CATHERINE THE GREAT,1
1112,Catherine the great of russia,1
1115,cece winans,1
1116,cecil rhodes,0
1119,Cena,0
1124,Cervical Cancer Cartwright,0
1130,chancellor helmut kohl,0
1133,Chapelle: Is Wayne Brady Gonna Have To Fuck A Bitch,0
1136,characters in Rigoletto,0
1137,characters in the book of Acts,1
1146,CHARLES BRONSON,0
1148,CHARLES CARROLL,1
1150,charles darwin,0
1152,Charles E Bolles,1
1154,charles goodyear,0
1157,Charles II,1
1161,charles keating,1
1166,Charles Lucky Luciano,0
1168,charles manson,0
1170,Charles Martel,0
1174,charles starkweather,0
1175,Charles Sumner wikipedia,0
1180,charmed,0
1181,charmed ending,1
1182,Charmed Final Season,1
1184,CHARMED LAST SHOW,1
1186,charmed ones,1
1187,charmed season 5 release date,0
1188,charmed season finale,0
1191,Chaucer,0
1192,chaucer character dialect,1
1199,cheers characters,1
1200,chef,0
1202,chelsea charms,0
1203,Chelsea Clinton,0
1204,cheney,0
1205,cher,0
1207,chess,0
1209,chester barnard,1
1210,chester bennington,0
1211,Chesty Puller,0
1212,chet atkins,1
1214,cheyenne woods,0
1222,chirac president of france,1
1226,Chopsticks and Liberace,0
1229,chris daugherty,1
1234,chris Daughtry christian song,1
1243,chris penn,0
1244,chris penn footloose pictures,0
1245,CHRIS ROCK,1
1251,Christian Huygens,1
1252,Christina aguilera,0
1254,Christina Georgina Rossetti,1
1257,Christina Rossetti,0
1258,christina rossetti and poetry,0
1259,Christine Gregoire,1
1260,Christine Jorgensen,0
1265,christopher columbus death,0
1267,Christopher Columbus Park in puerto rico,0
1269,CHRISTOPHER CRAWFORD,1
1274,christopher sarantakos,1
1275,Christopher Sholes,1
1276,CHRISTOPHER SNOW KOONTZ,1
1278,christopher walken dennis hopper,0
1279,Chrysostom,0
1280,chubby checker,0
1283,chuck liddell,0
1284,chuck noll,1
1285,chuck norris,0
1286,chuck norris & his family,0
1290,CHUDNEY ROSS,1
1292,church split over Da Vinci code,0
1294,ciara,0
1295,cilla black,0
1302,Civilization IV game help guide sites,1
1303,Claire danes,0
1306,Clapton graffiti Stratocasters: CRASH,0
1311,Clarence Thomas Pubic Hair Coke,0
1312,clark gable,0
1314,classic diablo 2 items,1
1315,classic poet archibald,1
1318,Claude Monet,1
1319,claudia schiffer,0
1320,claudius,0
1324,Cleopatra and mark anthony the play,1
1337,Clyde william tombaugh,1
1339,coco chanel,0
1340,coco lee,1
1341,code lyoko,0
1343,colbert,0
1345,colbert speech,1
1346,colbert speech press,1
1348,coleridge,0
1350,colin mochrie,0
1353,colin powell information,0
1354,colon cancer tony snow,1
1360,Columbus thought he landed,0
1362,COME ONE COME ALL INTO 1984 LYRICS,1
1367,compositions of the baroque period,1
1368,computer chip designer,1
1369,concussion,0
1371,confucius,0
1372,confucius ethical principles,0
1378,constantine maroulis,0
1382,contributions of Jackie Kennedy,1
1383,conundrum,0
1389,cooper anderson,1
1390,COOPER ANDERSON - GLORIA VANDERBILT,0
1393,cordell hull,0
1397,coriolanus,0
1405,coulter,0
1407,count of monte cristo,0
1411,country western old time music,1
1418,Craig Ferguson,0
1423,Creation of the Incan Gods,1
1428,cricket power play,1
1429,crime committed by pamela Rogers,1
1439,croce jim,0
1440,cromwell,0
1443,cruikshank,0
1445,cruz bustamante,1
1449,Curie Unit,1
1450,current generation's name,0
1455,cy young how many wins?,1
1460,Cyrus the Great,0
1461,Cytherea,0
1462,czar alexander II,1
1464,Czar Nicholas 11,1
1465,czar nicholas II,1
1467,d20 modern,1
1469,da vinci code,0
1472,da vinci code movie main page,1
1473,da vinci code oh lame saint,0
1474,da vinci code shea,0
1478,Da Vinci inventions,0
1480,da vinci mona lisa portrait,0
1481,da vinci mona lisa self portrait,0
1484,da vinci's mary of the rocks,0
1485,da vinci's mona lisa painting,0
1486,da vinci+angel+florence,0
1487,Daddy Day Camp Eddie Murphy,0
1491,dakota fanning,0
1492,dakota fanning and elle fanning,0
1500,dan brown biography,1
1505,Dan Snyder Hockey Player,0
1510,DANCING WITH THE STARS,1
1511,dandridge of cleveland ohio,1
1514,Dane Cook Stand up,0
1516,danica patrick,0
1517,danica patrick commercials,1
1522,Daniel DeFoe,0
1527,daniel ortega,0
1529,daniel radcliffe,0
1530,Daniel Webster in the Civil War,0
1531,Daniel Williams,1
1538,Danny Phantom Ghoul's Out,0
1539,Danny Phantom School's Out Ghoul's Out,0
1541,dante brutus why,0
1543,dario argento,0
1547,darla from little rascals movie,0
1553,dave chapelle,1
1557,DAVE GROHL PROJECT,0
1567,david beckham,0
1568,David Blade,1
1572,david blaine on television,0
1574,David Blaine the magician,0
1575,david blaine water,0
1580,david bowie songs,0
1582,david coverdale,0
1583,david crosby,0
1588,David Gilmour Lap Steel,0
1589,david glass,1
1590,david hampton,1
1591,David Hearst,1
1593,david hicks,0
1594,David Hockney,0
1595,david hume,0
1598,david koechner,0
1605,david miller,1
1609,david riche,1
1611,david schwimmer,0
1612,david schwimmer of Friends fame,0
1616,DAVID VON ERICH,0
1618,david wood basketball player,1
1619,DAVINCI CODE SPOILER,1
1622,dawes plan,0
1623,dawkins,0
1627,days of our lives,0
1629,de Chardin,0
1632,de laurentiis,0
1633,de vinci code paperback book,1
1638,deal or no deal .com,1
1639,deal or no deal christmas,1
1640,deal or no deal contestant,1
1645,dean koontz,0
1654,Debbie LaFave photos,1
1656,debra lafave,0
1659,Decius,1
1663,degrees of seperation,0
1665,Deion Sanders 40 speed,1
1667,Del Shannon's song lyrics,0
1668,Della Beatrice Robinson,1
1671,Demi Moore's husband,0
1679,Derek Bok,1
1689,despot,1
1693,diablo 2 1.07 runewords,1
1694,Diablo-The Game battle net,1
1695,Diamonds And Rust Joan Baez,0
1699,diana ross,0
1700,diana ross and the supremes stop in the name of love dance video,0
1701,diana ross's daughters,0
1704,Diane Keaton Biography,0
1705,diane keaton pictures,0
1706,DIANE SAWYER,0
1712,dick dale music,0
1713,Dick Morris,0
1716,Dick Van Dyke Wikipedia,0
1722,die fledermaus,0
1726,diem in vietnam,0
1728,DiFranco,0
1733,digimon.tv,0
1738,dimebag solos,1
1741,Diocletian,0
1744,directions to chinese checkers,1
1755,dita von teese,0
1756,Dixie McCall RN,1
1757,dj quik,1
1761,doc holliday on wikipedia,0
1762,doctor,0
1763,doctor who,0
1769,Domenico Ghirlandaio:,0
1775,don carlos buell,0
1778,don herbert,1
1786,don Quijote english version,1
1788,don reno,1
1795,donald trump,0
1798,donald trump bankruptcy,0
1799,donald trump wedding,0
1800,donald trump's family,0
1803,Donna Reed,0
1804,donne,0
1806,donnie van zant,0
1809,donovan songs,1
1816,dora the explorer,0
1820,Dorothea Bon Jovi,0
1824,dorothy hamill camel,0
1830,double dragon video game,0
1834,doug funny bluffington the mayor,1
1835,Doug Martsch,1
1838,Dr Seuss The Sneetches,0
1841,Dr. Spock,1
1842,dr. who,0
1843,Dr. William Marston,1
1844,Dr. William Marston LIE DETECTOR,1
1846,DR.Mengele,1
1849,dracula movies,1
1864,dryden,0
1866,duchess of parma,0
1867,duck hunt,0
1868,duck hunt games,0
1869,duck soup 1935,0
1870,duck tales cartoon characters,1
1871,Duckling,0
1874,Duke Ellington,0
1876,dukes of hazzard ashtray,0
1878,dungeon keeper,0
1879,dungeon keeper 2,0
1880,Dungeon Keeper 3,0
1883,dusty foggo,1
1887,dweezil zappa,0
1888,Dwight Live,1
1889,dwight yorke,0
1890,dylan,0
1894,earl warren,0
1898,early life of nelson mandela,0
1901,Ecclesiastes,0
1902,Ecco the Dolphin,0
1904,ecstasy,0
1905,Ed Gein,0
1908,eddie albert,0
1910,eddie mathews,1
1912,eddie murphy characters,0
1920,edgar allan poe,0
1923,edgar allen poe life compared to his works,0
1927,Edith Stein,0
1934,edward abbey,0
1940,edward II,1
1944,Edward Norton,0
1948,Edwin Hubble,0
1952,Ehud Olmert,0
1957,El Greco,0
1965,eleanor roosevelt photos as a young woman,0
1968,elias howe,0
1969,Elie Wiesel,0
1970,elie Wiesel's night,0
1972,Elijah Muhammad,0
1974,elijah wood,0
1975,elijah wood dating?,1
1976,Elin Nordegren,0
1979,Elisha the prophet,1
1980,elizabeth barrett,1
1981,Elizabeth Berkley,0
1982,elizabeth bowen biography,1
1983,Elizabeth browning,1
1984,Elizabeth George Speare,1
1985,elizabeth hulette,1
1994,elizabeth the great,1
1996,elizabeth vargas anchor woman,1
1997,Elizabeth's I of England brother,0
2002,elliot smith,1
2003,ellison boat,0
2009,elvin bishop,1
2020,elvis presley's color of his eyes,0
2021,Emancipation,0
2022,Emanuel Swedenborg,0
2026,emily dickenson,1
2029,emily dickinson's different categories of poetry,0
2033,eminem cries at proof funeral,0
2034,Eminem's say no to drugs song,0
2035,emma goldman,0
2041,emmett till,1
2042,Emmett Till case reopened,1
2044,Emmy Noether,0
2047,Emperor of Japan,1
2050,emperor under pope III,1
2052,en.wikipedia.org/wiki/1999,0
2055,endymion by keats,0
2057,eno,0
2058,enrico caruso,0
2059,enrico fermi,0
2061,Eragon characters for the movie,0
2063,eric and dylan,1
2069,eric harris columbine,0
2072,eric lane trapped in the closet,1
2074,Erica Hill,0
2077,erik erikson's eight stages,0
2082,erma bombeck,0
2085,ernest hemingway novels,0
2086,ernest hemingway wikipedia,0
2091,ernst,0
2092,ernst barlach,1
2094,esau,0
2100,espn sportscenter anchors,0
2108,ethan hawke in lord of war,0
2109,Ethelred,1
2110,ethics aristotle nic,0
2111,ethics leader reinhold,0
2122,Evangelion,0
2125,evel knievel,1
2127,events in 1956,0
2131,Events of James Buchanan,0
2137,exact location kryptos,1
2138,Exclamation Mark,0
2141,Exodus original author,1
2143,ezekiel,0
2144,Ezra,0
2145,ezra 7:10,1
2148,fabio lanzoni,0
2149,fabio's age,1
2151,facts about the mona lisa,0
2152,fahrenheit ### ####,0
2153,fahrenheit 451,0
2154,fairly oddparents episodes,0
2160,family guy,0
2163,famous french cities,1
2170,fantasy island los angeles,1
2171,faron young,0
2172,farrah,0
2175,fast and the furious 2,0
2177,fast times at ridgemont high 1986,1
2178,fast times at ridgemont high 1986 patrick dempsey,1
2180,fat joe,1
2184,fatboy,0
2187,Father of Geometry,1
2189,Fats Domino,0
2191,faulkner,0
2195,feldman michael,0
2199,fellini,0
2200,female country music stars,1
2203,Ferdinand Marcos,0
2205,Fernando de Magallanes,1
2207,fiddler on the roof,1
2208,fiddler on the roof voice categories lead roles,1
2210,Fidel Castro biography,0
2211,fidel castro propaganda,0
2212,fidel castro's city,0
2214,fifteen and pregnant songs from the movie,1
2218,final fantasy 11 notorious monster map,1
2219,final fantasy 7,1
2220,final fantasy 7 compilation,1
2221,final fantasy 7 info on the remake,1
2222,Final Fantasy 7: After Crisis,1
2224,final fantasy iii snes,0
2230,Final Fantasy Viii´s Seifer,0
2231,Final Fantasy X,0
2235,fiona apple,0
2238,first letter of christopher columbus,1
2239,FIRST MICKEY FEATURE,0
2244,fist north star motion picture,0
2248,FLDS Church,1
2250,Flintstones Pictures,0
2251,flip wilson,0
2258,Folsom Prison,0
2259,foo fighters + Dave grohl,0
2260,footloose song,1
2261,FORD COMMERCIALS AND AMERICAN IDOL AND CONTRACT,0
2267,fort abraham lincoln dakota territory,1
2269,Foster Brooks,0
2272,Fox Vicente,1
2277,frances hodgson burnett,0
2278,francesco redi,0
2280,francis crick,0
2283,Francis Scott Key,0
2288,franco harris,0
2291,Frank Bonner WKRP,1
2297,frank luke,1
2299,FRANK REYNOLDS,1
2301,frank sinatra birthday,0
2302,frank sinatra book on style,0
2306,Frank Zamboni,0
2309,Frankenstein romantic novel,1
2310,frankenstein themes,1
2314,franklin's wife,0
2317,Freak of the Week Ron Jeremy,0
2322,fred phelps,0
2324,freddie mercury,0
2329,Frederick Pohl,1
2335,free larry bird pictures,1
2339,free noises,1
2342,free picture of helen keller,1
2348,french and indian war,0
2357,friends elton john film,0
2367,full house the complete fourth season,1
2368,Fullmetal Alchemist,0
2370,fullmetal alchemist movie,0
2371,Fullmetal Alchemist: The valley of white Petals,0
2373,funeral of Martin Luther King,0
2376,Gacy,0
2380,galen,0
2381,galileo,0
2384,Galsworthy work,0
2386,Gamal speech,0
2391,garfield the cat,1
2393,garnett trade; lakers,0
2395,garth brooks,1
2396,gary becker,0
2400,gary cooper grave,1
2405,gary oldman,0
2409,gavin degraw,0
2412,GEAR JESSICA BEIL,1
2413,geena davis sitcom,0
2417,gemayel,1
2419,gen y,1
2422,gene pitney bio,0
2428,general douglas macarthur,0
2431,general mcdowell,1
2432,general omar bradley wikipedia,0
2433,general percival,1
2436,generation x,0
2439,generation y,0
2446,george baby face nelson,1
2447,George Bernard Shaw,0
2454,george galloway,0
2455,george gershwin,0
