,query,pred
4982,paul wall married,1
4985,Paul's second missionary trip,0
4986,paula abdul,1
4988,Paula Abdul wikipedia,0
4990,paula jones,0
4996,payne stewart,0
4997,paz vega,0
5004,pedro de alvarado,1
5006,pedro pires,1
5008,Peer Gynt Suite,0
5015,Percival Pott,1
5019,pericles art,0
5020,PERRY FARRELL REV,0
5023,personality tests,1
5024,personality traits in people,0
5026,pet sounds,1
5034,peter benchley,1
5038,peter frampton,1
5040,peter gabriel song list,0
5043,peter iii of russia,0
5044,peter jennings,0
5045,peter max,1
5046,peter pan,0
5047,Peter Pan's Tiger Lily,0
5052,Petticoat Junction,0
5055,pgr3 speedpack,1
5056,phantasy star online,0
5058,phantom of the opera the book,1
5059,pheidippides,1
5060,phelps,0
5067,phil knight,0
5072,philip johnson,0
5074,PHILIP MICHAEL THOMAS,0
5076,pHILIP ROTH,0
5079,phineas gage,0
5085,Piaget,0
5091,picket fences cbs tv,1
5093,picnic war,0
5094,pics Katherine McPhee,1
5095,picture lord farquaad,0
5101,pictures adam sandler wife,0
5103,Pictures of a knight's weapons,0
5110,pictures of heidi and seal at events,1
5115,pictures of malcom x,1
5119,pictures of stone wall jackson's family,1
5120,pictures of the artist leonardo da vinci,0
5121,pierre bourdieu on language,0
5125,pigeon feathers updike,1
5126,pimp my ride,0
5127,pimp old cars,1
5133,pinochet,0
5138,plan of attack,1
5145,plato meno,0
5148,Plato's written work the Gorgias,0
5151,Play Deal or no deal,1
5152,play the price is right gameshow online,1
5153,pliny,0
5157,poems of attar,1
5158,poems Shakespeare ' to be or not to be ',0
5159,Poet named Pound,1
5160,Poetry by Bob Dylan,0
5165,police academy,0
5168,pompey italy,0
5171,pontiac indian,1
5172,poopy joe .com,1
5175,Pope after Julius II,0
5184,pope john paul the second,0
5186,Pope Leo,0
5188,Pope Paul of Greece,0
5191,Pope XXI,1
5192,popeye,0
5195,popeye the sailor pictures,0
5197,porgy and bess,1
5198,porn star nina hartley,0
5203,post impressionist,1
5206,power ranger seasons,1
5209,power rangers day of the dumpster,0
5214,Pramoedya Ananta Toer,1
5215,prc pack neverwinter,1
5217,prescription look up,1
5220,President Carlos Arana,1
5223,president jefferson davis on slavery,1
5227,President Mahmoud quotes,1
5230,president of nicaragua,1
5235,PRESS YOUR LUCK,0
5237,pretty women richard gere,0
5239,price is right theme music,1
5245,prince of persia,0
5250,prince william windsor,0
5251,princess alia of jordan,1
5254,printable mad libs,1
5256,priscilla presley,0
5260,Prometheus Bound,0
5262,Protestant ethic,0
5264,Proulx,1
5268,Psalms,0
5271,puberty,0
5272,puckett kirby,1
5274,Pumping Iron,0
5275,pursuit of liberty goldwater,1
5276,pvp,1
5277,pythagoras,0
5278,pythagoras of samos,0
5279,pythagoras school,1
5280,Pythagorean,0
5286,queen elizabeth,0
5288,queen elizabeth 2,0
5294,queen elizabeth II,0
5295,queen elizabeth II of england,0
5299,queen nefertiti,1
5304,quick fights by ali,1
5307,Quintilian,1
5323,radio - sky king,1
5325,Rafael Palmeiro,1
5331,ralph fiennes,0
5336,Ram Mohan Roy,0
5338,randolph scott and cary grant,0
5339,randy california,1
5345,randy johnson,0
5346,Randy Savage,0
5349,Raoul Wallenberg,0
5352,rapper curtis blow,0
5353,rashid wallace,1
5354,rasputin,0
5357,Ray Bradbury's Body Electric,0
5358,Ray Charles,1
5363,ray mcgovern,1
5370,Reagan Alzheimer presidency,1
5371,real cyrano de bergerac,0
5373,Reasoner,1
5374,rebecca loos,0
5380,redman,0
5384,REGAN BOOKS,1
5385,Reggie Bush,0
5394,RENT MUSICAL,0
5396,reproduction in plants where do seeds form in the plant,0
5400,respighi,1
5405,revelation god leaves earth,1
5406,Review of Age of Innocence,1
5409,ric ocasek,1
5410,ricardo mayorga,0
5413,rich hall,0
5416,richard branson,0
5417,Richard Carrier,1
5419,Richard Cromwell ####-####,0
5422,richard III,0
5423,richard m nixon,0
5427,richard meier SOM,1
5428,richard nixon,1
5437,Richard Rodgers,0
5439,richard sandrak,0
5440,richard simmons,0
5442,Richard Simmons Sweatin to the Oldies series,0
5443,Richard Speck,0
5446,richard thomas,1
5447,richard wagner,0
5452,rick james,0
5454,rick nelson,1
5457,Rick Sutcliffe,1
5462,rigoletto,0
5463,Rihanna,0
5464,rihanna born,0
5466,Rime of the Ancient Mariner summary,0
5470,rita cosby,1
5472,rita rudner,1
5474,rivaldo,0
5475,riven,0
5479,rob aston tim armstrong travis barker,0
5489,Robert Byrd,0
5493,robert frank photographer,0
5501,ROBERT LINCOLN,0
5505,robert marley,0
5507,Robert McNamara,1
5512,Robert Nesta Marley,0
5515,Robert P. Hanssen,1
5516,Robert peary,0
5520,robert ripley,1
5521,robert schumann,0
5525,Robert urich,0
5527,roberta flack,1
5530,roberto clemente,0
5533,robin williams,0
5536,Robot Chicken,0
5538,robot chicken theme song,1
5539,robot wars,0
5540,Robotboy,1
5541,robotech,1
5545,rock hudson and aids,1
5547,Rock the Joint Jimmy Preston,1
5548,rockefeller,0
5552,rocky marciano,0
5554,rod roddy,1
5555,rod serling,0
5556,rod stewart,1
5560,rodney king,0
5561,Roger and Mary Miller,0
5564,roger daltry,1
5565,roger maris,0
5567,roger maris history,0
5568,roger penrose microtubules,1
5571,roger waters official,1
5572,ROLAND THE PERSON,1
5574,romanesque art examples,1
5575,romeo & juliet clothing,1
5580,Romeo Montague was banned from,1
5582,romulus and remus,0
5584,Ron Artest K1X,0
5587,ron hyatt,0
5588,Ron Mueck,0
5589,Ron Perelman,1
5591,Ronald Reagan,0
5595,ronald winans,1
5601,rooney,0
5603,rosa louise mccauley parks (####-####) African,0
5608,rosa parks jesse jackson,0
5613,rose marie kennedy,0
5617,roseanne daughter,0
5618,ROSETTA STONE,0
5619,Rosetta stone ( egypt,0
5623,ross perot time to clean out the barn,1
5624,rostand,1
5626,roulette wheel standard,1
5627,Rousseau,0
5631,Roy Clark boxer,0
5632,ROY COHN,0
5634,Roy London,1
5636,roy rogers,0
5639,rtf format,1
5650,rudy giuliani,1
5653,rules to sudoku,1
5656,rumsfeld education,1
5663,Rupert Grint,0
5665,russ hodges the yankees win the pennant the yankees win the pennant,1
5667,russell simmons,0
5671,ryan reynolds alanis morissette,0
5672,ryan seacrest,0
5677,s. robson brother john walton,0
5681,Sacha Gervasi,0
5683,Saddam Hussein picture,0
5686,sage francis,1
5690,Saint Augustine,1
5694,saint justin martyr,0
5696,saint peter,1
5698,Saint Stephen,0
5701,Saint Vincent De Paul,0
5708,salma hayak,0
5711,salvador allende,0
5715,sam elliott,0
5716,sam houston,0
5722,same game,1
5726,Samuel Beckett,0
5728,samuel coleridge,1
5730,samuel k doe,1
5731,samuel taylor coleridge,0
5733,samurai jack,0
5739,sandy koufax,0
5745,Sara Teasdale,1
5758,saturday morning cartoons,1
5762,SATURDAY NIGHT LIVE HORATIO SANZ,0
5763,saturday night live muppets,0
5767,Saved by the Bell,0
5768,saving private ryan,0
5772,scarface & rapper,1
5775,scatman john,0
5776,schelling,1
5777,schiavo,0
5778,Schindler's business partner,0
5780,scholl sophia,0
5782,schopenhauer,0
5785,Schumann,0
5786,schwartz residence frank lloyd wright,0
5788,scott bakula,0
5789,scott hall and kevin nash,0
5800,sean combs,1
5805,sean paul from the youngbloodz,0
5807,sean preston federline,0
5810,sean young,0
5811,sean young actress,0
5813,search for eichmann,0
5814,Searching for Jerry Garcia,0
5818,second life,1
5819,second president assassinated,1
5823,secretary of state james baker,1
5827,selena,0
5828,selena quintanilla,0
5830,seleucus,0
5834,senator fred thompson,1
5835,Senator John Danforth,1
5836,Senator Joseph McCarthy,1
5837,Senator Kentucky,1
5838,Senator Kerry,1
5839,Senator McCarthy,1
5841,senator representing maryland,1
5842,senator tower,1
5845,sequoyah history life,0
5846,serena williams premiere of after the sunset,0
5847,Serge Gainsbourg,0
5848,sergey brin,0
5849,series finale of seventh heaven,0
5853,Seven Ancient Wonders,0
5858,shaggy and scooby doo picture,0
5860,shaggy/scooby doo,0
5866,Shakira music list,0
5867,Shane Edouard Haboucha,1
5870,shane west,0
5875,sharon stone,0
5884,sheena easton born,1
5887,shell shock,0
5889,Shibuya,1
5893,shirley+temple+black,0
5895,shogi wikipedia,0
5897,short stories by albert camus,0
5898,short stories by Mark Twain,0
5905,sidney sheldon,0
5907,Sienna Miller,0
5910,Sigmund Freud,0
5915,Simon Cowell biography,0
5917,simon fuller,0
5926,siouxsie sue and the banshees,1
5931,Sir Geoffrey Howe,1
5932,sir isaac newton,1
5935,sir walter raleigh quotes,1
5936,Sir Winston Churchill,0
5937,Sirhan Sirhan,0
5939,sissy spacek,0
5940,sisyphe mythology,1
5941,Sisyphus's punishment in myth,0
5945,six time art ross memorial trophy winner,1
5963,Snes game genie codes Chrono Trigger,0
5964,SNL cast 1985,0
5967,snoop dog music,1
5970,SNOOP DOGG SOUND TRACK,0
5972,SOBEN HUON,1
5984,Somoza,1
5985,sondra locke,0
5986,song feelings 1975,1
5991,SONGS BY DOLLY PARTON,1
5994,SONGS WRITTEN BY DOLLY PARTON,0
5998,Sonny James,1
6004,sophocles,0
6006,Soprano's TV program,0
6008,soraya,0
6010,Soul Train,0
6016,South Park the cartoon history,0
6024,spanish priest who opposed the conquistadors,1
6032,sperm,0
6034,sperm cell structure,0
6035,spike lee,0
6036,spike race broadcast,1
6038,spiro agnew,0
6045,spongebob squarepants,0
6050,spud webb,0
6059,St. Mary Magdalene shrine,0
6061,St. Thomas Aquinas,0
6065,stalin,0
6067,Stan Lee marvel comics,0
6074,star fox 64,0
6075,star gate dvd season 9,1
6077,star wars holiday special download,0
6078,STAR WARS KID,0
6084,Statue of Liberty history and pictures,0
6085,Statue of Liberty Made out of,0
6087,Steinbeck,0
6091,Stephen Chow,0
6094,stephen crane critics,0
6097,stephen hawking,0
6103,Sterling Hayden,0
6105,Steve Clark,0
6107,Steve Dallas Bloom,1
6108,steve def leppard died,0
6110,steve harvey,0
6119,steve nash,0
6120,steve nash phoenix suns,0
6121,steve reeves,0
6123,Steve Wozniak's net worth,0
6126,steven biko,0
6128,steven colbert video,0
6149,Stonewall Jackson pictures back in the 1861,0
6151,story of two mother of solomon's time,0
6156,street fighter 2 for super nintendo move list,0
6159,strother martin,0
6165,sudan rebel leader,1
6167,sudoku help,1
6172,sudoku solutions,1
6174,sufjan stevens christian,0
6176,sugar ray robinson,0
6177,suge knight,0
6182,Summary of Descartes Meditations,1
6184,Summary of the vanity of human wishes,1
6187,sunday silence the race horse,1
6188,Super Mario 64,0
6190,super monkey,1
6191,superman/brandon routh,0
6196,susan powter,0
6198,SUSAN SARANDON FILMS,0
6199,susan smith,0
6212,synopsis of steel magnolias,0
6213,syrian folk legend,0
6215,tacitus,0
6216,tacitus quote,1
6219,tacoma washington bridge disaster,0
6221,taguchi,0
6224,tales of phantasia,0
6228,tallulah bankhead,0
6230,tammy faye baker,0
6232,tammy wynette and george jones song,0
6234,tank girl,0
6235,tanya haden,0
6236,tanya harding sex video,1
6243,taupin bernie,0
6246,taylor hicks bio,0
6247,taylor hicks biography,0
6248,taylor hicks birmingham alabama,0
6254,taylor hicks tuesday performance,0
6255,taylor hicks wikipedia,0
6264,ted danson sitcom,0
6266,ted kennedy plane crash,0
6268,ted nugent wikipedia,0
6269,ted nugent's band,0
6272,ted williams family,0
6276,Tekken,0
6281,teletubbies tubby toast,0
6282,television series producer Daniel McPhee,0
6283,telly savalas,0
6284,temple grandin,0
6285,ten little injuns,1
6288,Tennessee Williams,0
6293,terrell owens eagles contract,0
6296,terri shiavo,0
6301,Terry McMillan,1
6310,text lottery shirley,1
6312,thandy newton,1
6318,the art of war wikipedia,0
6321,the baldwin brothers,0
6323,the beets from doug,1
6328,the birth of julius caesar,0
6329,the blair witch,1
6333,the book of joel,1
6335,the book of lamentations,1
6337,THE BOOK OF MICAH,1
6340,the book The Ugly American,1
6343,the carpenters music,0
6347,The Charmed Season Finale,0
6349,the church used in 7th heaven,1
6350,the Colbert report,0
6353,the constant gardner,1
6354,The Count of Monte Cristo,0
6356,The Cunninghams,1
6359,the da vinci code box office record,0
6360,the dark crystal sequel website,0
6361,The Dark World by Henry Kuttner,1
6362,the day the world revived yasunori mitsuda,0
6367,the destructors- graham greene,0
6368,The Diary of Anne Frank,0
6374,The epistle of Paul to the Corinthians,0
6375,the exorcism of emily rose,0
6377,the far side,0
6378,the fast and the furious game,0
6380,The formation of NATO,0
6384,the ghost in the shell stand alone complex 2nd gig theme song,0
6386,the giver,0
6387,the godfather,0
6388,the godfather iii,1
6390,The Godfather-wikipedia,0
6391,the gospel according to Mary Magdalene,0
6398,the hart foundation wrestling,0
6407,the invisible man movie,0
6413,The life and works of john Donne,0
6415,The Lion King Characters,0
6417,The Lorax,0
6419,the lord of the rings the elven alliance,0
6420,The Lord Of The Rings: Novel,0
6422,the lost generation of writers,0
6423,the man in the brown suit by agatha christie,0
6424,the man show,0
6428,the maury show,1
6436,The Mysterious History of Columbus,1
6439,The Night Cafe By Vincent Van Gogh,0
6440,The Notebook + Rachel McAdams,0
6442,The Odyssey by homer,1
6443,The Odyssey: A Modern Sequel,0
6446,the only drive through post office is located in what USA city,1
6447,the original 50 cent dvd,0
6450,The Phantom Tollbooth,0
6453,The Pornocracy,1
6454,The president of 1991,1
6459,The Prize by Daniel Yergin,1
6461,The real folk blues free music video (from cowboy bebop),1
6466,the scream,0
6469,the screwtape letters,0
6470,the second time around frank sinatra,1
6472,The Simple Life with Kidman,0
6477,the sneetches and other story,1
6478,the son of man 1964 painting,1
6490,The theory of evolution as proposed by Darwin,0
6491,THe THinker,0
6496,the trial of leona helmsley,0
6497,The tribe of Benjamin,1
6501,the use of light from the proto renaissance to the rococo period,1
6504,the warren supreme court,1
6505,the wayans family,0
6509,the wiz 1975,1
6511,the wonderful wizard of oz book,0
6515,the young and the restless snapper,1
6516,the young rascals- people got to be free,1
6524,theodore roosevelt,0
6527,Theodorus van Gogh,0
6528,Theodosius I Great,1
6532,thirty years' and pope urban,0
6534,thomas a edison pictures,0
6537,thomas carlyle and john nichol and conversion,1
6538,thomas edison,0
6540,thomas friedman,0
6541,thomas friedman c-span,0
6542,thomas gallaudet,1
6546,Thomas Jefferson inaugural address summary 1801,1
6548,Thomas Jefferson restored the style of aristocracy,1
6550,Thomas Kinkade originals,0
6551,Thomas McKean,1
6552,thomas moore,0
6553,thomas moore  poet,1
6555,thomas paine,0
6559,THOMAS STONEWALL JACKSON,1
6562,Thomas the Tank Engine and Friends,0
6576,tiger's contract with nike,0
6579,tim armstrong travis barker,0
6584,Tim McGraw and Faith Hill Songs,0
6590,time bandits george harrison,0
6593,Time magazine man of the year,0
6594,timeline mao zedong,0
6595,times warner inc wikipedia,0
6600,Timothy McVeigh last meal,0
6601,timothy treadwell,0
6602,timur,0
6607,tiso slovakia,1
6612,Titus son of Vespasian,0
6618,tobit,0
6619,toby keith,0
6621,today show weekend edition news anchor,1
6625,todd rundgren,0
6626,todorov,1
6629,TOM BAKER,0
6631,tom brokaw,0
6632,Tom Canty/ the prince and the pauper,0
6633,tom clancy,0
6637,tom cruise biography,0
6639,Tom Cruise's first movie,0
6645,tom green AND bum,1
6646,tom hanks,0
6648,tom Horn,0
6649,Tom Landry + college football,1
6650,TOM LEHRER,0
6652,tom morello,0
6656,tom regan the moral basis of vegetarianism,0
6660,tom sneva,1
6661,Tom Welling History,0
6664,Tommy Lee song and videos,0
6665,tommy mottola,0
6668,toni basil,0
6669,toni braxton,1
6673,tony bennett,0
6676,tony croatto,1
6678,Tony Dorsett,0
6679,tony hawk,0
6680,Tony Hawk's accomplishments,0
6682,Tony Parker album,1
6684,tony robbins,0
6687,Tonya Harding,0
6695,TORI SPELLING BIO,0
6701,toussaint,0
6702,townspeople inA Rose for Emily,0
6707,tracy and hepburn movies,0
6709,trajan,0
6711,trapp family,1
6713,travis barker,0
6716,travis tritt,0
6717,Treasure Planet,1
6720,triple h,0
6721,triple H theme song,1
6724,Tru Calling,0
6727,Truman Capote pictures,0
6728,truman doctrin,1
6729,truman doctrine,0
6730,tucker carlson,0
6734,tupac shakur,0
6735,tupac shakur biography from life to death,0
6738,Turandot Puccini,1
6741,tv show lost,0
6743,Twenty questions rules,1
6745,twilight zone with Rod Serling,0
6747,Two Kinds by Amy Tan,1
6753,tyson,0
6755,ultima online,0
6756,ultraman,0
6759,Uncle Rico pictures,1
6760,under the ivy video kate bush,0
6762,Understanding the Bible's story of Ruth,0
6767,Unwritten natasha \,1
6768,upload of sidney crosby on jay leno,0
6770,Urban country pop star,1
6771,urban II,0
6774,usa channel 4400,1
6777,uss hopper,1
6780,V for Vendetta,0
6787,valo,0
6789,Van Eyck,0
6792,van morrison,0
6794,Vanessa Carlton,0
6796,Vanilla Ice,0
6800,vatican council 2,0
6801,Vatican II,1
6813,vesalius,0
6815,vespucci south america,0
6816,veterans of the korean conflict,1
6820,vicky lamotta,1
6825,victor french,0
6829,victoria secret stats,1
6830,vida guerra,1
6837,ville hermanni valo,1
6839,vince gill,0
6840,Vince McMahon,0
6843,vinod khosla,0
6844,Virgil,0
6850,vivien thomas,0
6855,voltaire,0
6858,von trapp kids names,0
6864,walden three,1
6865,waldo pepper world war pilot,1
6866,walk the line,1
6871,walt disney biography,0
6880,waltrip 99 car,1
6883,War and Peace by Leo Tolstoy,0
6886,ward,1
6893,warren buffett,0
6894,warren jeff,1
6896,warren jeffs texas,0
6897,warren william,1
6898,Warren Zevon,0
6904,washington's term as president,0
6906,watch desperate housewives episodes season 2,0
6910,watts towers,0
6912,wayans,0
6913,wayne gretzky,0
6914,wayne rooney,0
6915,wayne shorter,0
6919,we don't talk any more cliff richard,0
6924,ween,0
6929,what are spongebob cars called,1
6932,what did winston churchill do,1
6936,What impact did writing of John Lock have on the revolution?,1
6946,What is NAT,1
6953,what is the history of the book of proverbs,0
6954,what is the life of Pi about?,1
6955,What is the name of Elton John's current Vegas show,0
6959,what is winged victory,0
6960,What male tennis player won Australian Open in 2000,1
6962,what pitcher threw the fastest,1
6963,What president did Jason Robards play in The Legend of the Lone Ranger?,0
6964,what president is on a silver $2,1
6966,What team did Kareem Abdul-Jabbar play for?,0
6970,what type of genre is the giver by lois lowery,0
6971,What was boxing like in 18th century England,1
6975,what year did michael jordan make his first shoe,1
6976,what year did wheel of fortune game show start?,0
6980,wheel of fortune,1
6982,when and where jennifer love hewitt was born,1
6983,when boxers are traINING THEIR OPPONENTS ARE CALLED WHAT,1
6984,when did babe ruth hit home run 714,1
6985,when did jimmy carter died,1
6986,when is the soprano's season 6 finale,0
6992,When was the book of ezekiel written,1
6993,When was the book of Jeremiah written,1
6994,When was the prophet Elijah born.,1
6998,where did Alexander the Great came from,1
6999,Where did Bill Clinton Attend Law School,1
7001,where does rush limbaugh live?,0
7002,where is big love filmed,1
7003,WHERE IS JIMMY HOFFA,0
7005,where Kobe Bryant went to school,0
7007,where the wild things are book,0
7008,Where was Fantasy Island filmed,1
7009,where was jimmy carter born,0
7010,where was nasser in 1953,0
7014,whig party high taxes,1
7017,whitney houston clive davis new album,1
7018,WHITNEY HOUSTON IN THE STUDIO 2006,0
7020,Who are Domenikos Theotokopoulos family relatives?,1
7021,who are the producers of the price is right,0
7032,WHO IS HOFFA,0
7034,who is jimmy hoffa,0
7045,who is the half blood prince,0
7051,who painted portrait of a musician,1
7053,who played spanky in our gang,0
7055,who respected jackie robinson?,1
7057,who shot lee harvey,0
7061,Who was General Washington's friend from France,1
7062,Who was Gypsy Rose Lee?,0
7065,Who was John Phillip Sousa,1
7067,who was leonardo da vinci?,0
7069,who was mary magdalene?,0
7071,Who was Rehoboam,1
7077,Who's That Knocking at My Door (a film),1
7083,wife of winston churchill,0
7084,wiggles,1
7086,wikipedia 1969,0
7087,wikipedia antihero,0
7089,Wikipedia Batman,0
7095,wikipedia cowboy bebop,0
7097,wikipedia doctor who (2005),0
7103,wikipedia george washington,0
7104,Wikipedia Gone with the Wind,0
7106,wikipedia knight rider,0
7108,wikipedia manson,0
7114,wikipedia ridley scott,0
7116,wikipedia trailer park boys,0
7117,wikipedia truman capote,0
7121,Wilder,0
7126,will smith's the actor son,0
7129,William Blake,0
7131,william carlos william poem the red wheelbarrow,1
7133,william clark,0
7141,William Ernest Henley,1
7147,william harrison,1
7148,william harvey,0
7150,william james,1
7151,WILLIAM JENNINGS BRYAN,0
7152,william mckinley,0
7154,William Paley,1
7159,William Shatner,0
7160,William Thackeray ,1
7165,WILLIAM WORDSWORTH LYRICAL BALLADS,0
7167,William Wordsworth Tables Turned,1
7171,willkie,0
7174,wilma rudolph pictures,1
7175,Wilmer Valderrama,0
7176,wilson pickett discography,1
7178,windmill animal farm symbol,0
7183,wink encyclopedia,1
7184,winslow homer civil war,0
7188,wizard of oz and emerald city,0
7190,Wolfgang,0
7193,Women in Shakespeare Plays,1
7195,woodrow wilson most famous speech,0
7201,Woody Hayes Gator Bowl,0
7202,woody herman,1
7203,woolf,0
7204,words to spongebob squarepants song,0
7209,World of Warcraft Hacking Tools,1
7211,World of Warcraft West Coast Server,0
7212,World Of Warcraft Wikipedia,0
7215,worlds of warcraft guest pass,1
7216,wormwood,0
7217,worst poet in England,1
7219,wrinkle in time,0
7220,writings by Jack London,0
7222,Wu Jintao,0
7223,wuthering heights,0
7224,wuthering heights what happened,0
7225,wwe victoria,0
7226,WWf legend Mick Foley,0
7227,WWF Summerslam 1998,0
7228,WWF Survivor Series 1994,0
7229,www SUDOKU.com,0
7236,x-men legends dark blob,0
7237,x-pac and chyna sex tape,0
7242,xzibit,1
7243,yahtzee texas holdem score,0
7245,yankees joe torre,0
7247,YAO MING,0
7253,year theodore roosevelt took office,0
7257,YOGI BEAR,0
7260,you are all a lost generation,1
7262,You wrote my life by Hank Williams,1
7265,Yul Brynner,0
7267,yzerman,0
7270,Zacarias Moussaoui case number,0
7272,zaid abdul-aziz,0
7274,zapata,0
7278,zeno citium,1
7287,zone diet,0
7289,zooey deschanel wikipedia,0
7293,zora neale hurston,0
